protein_id,taxa_id,clade,description,domain_id,start,stop,length,genus,species
A0A044ULB2,6282,E,Pancreatic trypsin inhibitor Kunitz domain,PF00014,2699,2757,2760,Onchocerca,volvulus
A0A044V9R4,6282,E,disorder_prediction,mobidb-lite,270,331,858,Onchocerca,volvulus
A0A058Z7B5,691883,E,disorder_prediction,mobidb-lite,1329,1487,1487,Fonticula,alba
A0A058ZFD5,691883,E,Nop domain,PF01798,158,382,579,Fonticula,alba
A0A058ZFY3,691883,E,disorder_prediction,mobidb-lite,994,1067,1379,Fonticula,alba
A0A058ZFZ6,691883,E,Helicase C-terminal,PF00271,428,564,807,Fonticula,alba
A0A058ZTS1,71139,E,Gnk2-homologous domain,PF01657,151,239,621,Eucalyptus,grandis
A0A059A9P8,71139,E,NUDIX hydrolase domain,PF00293,77,207,232,Eucalyptus,grandis
A0A059A9Z2,71139,E,U box domain,PF04564,275,346,681,Eucalyptus,grandis
A0A059AJA1,71139,E,Serine-threonine/tyrosine-protein kinase catalytic domain,PF07714,40,307,336,Eucalyptus,grandis
A0A059AJW6,71139,E,Uncharacterized protein OS=Eucalyptus grandis GN=EUGRSUZ_I00112 PE=3 SV=1,LowComplexity,5,20,930,Eucalyptus,grandis
A0A059AW37,71139,E,Rhodanese-like domain,PF00581,194,289,409,Eucalyptus,grandis
A0A059AXL7,71139,E,Kinesin motor domain,PF00225,391,709,1000,Eucalyptus,grandis
A0A059B3F5,71139,E,disorder_prediction,mobidb-lite,1,25,296,Eucalyptus,grandis
A0A059B3W1,71139,E,Major facilitator  sugar transporter-like,PF00083,25,502,519,Eucalyptus,grandis
A0A059B406,71139,E,Trafficking protein particle complex subunit,PF04099,1,56,81,Eucalyptus,grandis
A0A059B8R8,71139,E,Alcohol dehydrogenase C-terminal,PF00107,206,334,380,Eucalyptus,grandis
A0A059B9A7,71139,E,disorder_prediction,mobidb-lite,631,656,656,Eucalyptus,grandis
A0A059BGM3,71139,E,Pentatricopeptide repeat,PF13041,397,446,620,Eucalyptus,grandis
A0A059BVJ5,71139,E,disorder_prediction,mobidb-lite,1,29,1493,Eucalyptus,grandis
A0A059C3T6,71139,E,Ataxin-2 C-terminal,PF07145,99,114,366,Eucalyptus,grandis
A0A059C7S0,71139,E,SANT/Myb domain,PF00249,72,114,296,Eucalyptus,grandis
A0A059CA28,71139,E,disorder_prediction,mobidb-lite,668,689,1323,Eucalyptus,grandis
A0A059CFW7,71139,E,Uncharacterized protein OS=Eucalyptus grandis GN=EUGRSUZ_D01628 PE=4 SV=1,LowComplexity,49,65,716,Eucalyptus,grandis
A0A059CM85,71139,E,Ferric reductase NAD binding domain,PF08030,725,907,925,Eucalyptus,grandis
A0A059CR90,71139,E,Uncharacterized protein OS=Eucalyptus grandis GN=EUGRSUZ_C02137 PE=4 SV=1,CoiledCoil,288,309,732,Eucalyptus,grandis
A0A059CVM0,71139,E,WD40 repeat,PF00400,46,82,347,Eucalyptus,grandis
A0A059DCS9,71139,E,Inosine/uridine-preferring nucleoside hydrolase domain,PF01156,127,276,286,Eucalyptus,grandis
A0A059LEX5,1291522,E,WD40 repeat,PF00400,239,271,424,Helicosporidium,sp. ATCC 50920
A0A059LM88,1291522,E,disorder_prediction,mobidb-lite,28,47,99,Helicosporidium,sp. ATCC 50920
A0A059LS38,1291522,E,Nucleotidyl transferase domain,PF00483,73,348,506,Helicosporidium,sp. ATCC 50920
A0A059RNF8,9606,E,Cytochrome c oxidase subunit II-like C-terminal,PF00116,96,213,227,Homo,sapiens
A0A059SGF3,273567,E,Ribulose bisphosphate carboxylase large subunit C-terminal,PF00016,140,179,179,Protea,parvula
A0A059TEQ8,263448,E,Ran binding domain,PF00638,23,143,1220,Cercopithecus,wolfi
A0A059UBB6,3381,E,PAS fold,PF00989,621,735,1123,Gnetum,montanum
A0A060A4R4,1503164,E,Translation initiation factor 3 N-terminal,PF05198,12,80,173,Cyanidiaceae,sp. MX-AZ01
A0A060CI57,4786,E,Small GTPase superfamily,PF00071,1,65,66,Phytophthora,cryptogea
A0A060D890,4577,E,Tify domain,PF06200,73,105,181,Zea,mays
A0A060MZU1,7091,E,disorder_prediction,mobidb-lite,135,258,476,Bombyx,mori
A0A060RMK0,5854,E,Plasmodium falciparum erythrocyte membrane protein 1 acidic terminal segment,PF15445,2,185,519,Plasmodium,reichenowi
A0A060SAT1,5643,E,Alanine racemase N-terminal,PF01168,51,236,452,Trametes,cinnabarina
A0A060SUK3,5643,E,Uncharacterized protein OS=Pycnoporus cinnabarinus GN=BN946_scf184533.g4 PE=4 SV=1,LowComplexity,181,196,200,Trametes,cinnabarina
A0A060SVF5,1491612,E,Spectrin repeat,PF00435,145,247,264,Exocelina,patepensis
A0A060SW87,409370,E,Pentatricopeptide repeat,PF01535,504,532,1062,Blastobotrys,adeninivorans
A0A060T1K0,409370,E,Major facilitator superfamily,PF07690,67,442,535,Blastobotrys,adeninivorans
A0A060T2R1,409370,E,Alkyl sulfatase dimerisation domain,PF14863,364,500,630,Blastobotrys,adeninivorans
A0A060T2Y8,409370,E,disorder_prediction,mobidb-lite,1,25,618,Blastobotrys,adeninivorans
A0A060T350,409370,E,tRNA-binding domain,PF01588,52,145,208,Blastobotrys,adeninivorans
A0A060T8F8,409370,E,Mitochondrial substrate/solute carrier,PF00153,104,192,291,Blastobotrys,adeninivorans
A0A060TBU6,409370,E,ARAD1D37598p OS=Blastobotrys adeninivorans GN=GNLVRS02_ARAD1D37598g PE=4 SV=1,CoiledCoil,71,99,346,Blastobotrys,adeninivorans
A0A060TD51,409370,E,WD40 repeat,PF00400,89,122,298,Blastobotrys,adeninivorans
A0A060VMI6,8022,E,NADH-ubiquinone reductase complex 1 MLRQ subunit,PF06522,11,42,43,Oncorhynchus,mykiss
A0A060VMM3,8022,E,NUC153,PF08159,1,21,245,Oncorhynchus,mykiss
A0A060VNR9,8022,E,disorder_prediction,mobidb-lite,540,585,585,Oncorhynchus,mykiss
A0A060VQV4,8022,E,disorder_prediction,mobidb-lite,732,751,1609,Oncorhynchus,mykiss
A0A060VUX7,8022,E,Protein kinase domain,PF00069,350,594,678,Oncorhynchus,mykiss
A0A060VZA3,8022,E,Pyridoxine 5'-phosphate oxidase dimerisation C-terminal,PF10590,210,264,264,Oncorhynchus,mykiss
A0A060WCP3,8022,E,Calponin homology domain,PF00307,577,677,1374,Oncorhynchus,mykiss
A0A060WCT3,8022,E,PQ-loop repeat,PF04193,269,326,373,Oncorhynchus,mykiss
A0A060WDG2,8022,E,Transcription initiation factor TFIID component TAF4,PF05236,746,943,970,Oncorhynchus,mykiss
A0A060WEZ2,8022,E,Ras-associating (RA) domain,PF00788,3,84,669,Oncorhynchus,mykiss
A0A060WHF0,8022,E,Kringle,PF00051,190,267,820,Oncorhynchus,mykiss
A0A060WHN7,8022,E,Potassium channel inwardly rectifying Kir,PF01007,50,375,433,Oncorhynchus,mykiss
A0A060WHT4,8022,E,Uncharacterized protein OS=Oncorhynchus mykiss GN=GSONMT00071901001 PE=4 SV=1,LowComplexity,119,137,141,Oncorhynchus,mykiss
A0A060WLT2,8022,E,Ion transport domain,PF00520,42,296,501,Oncorhynchus,mykiss
A0A060WP35,8022,E,PET domain,PF06297,196,280,912,Oncorhynchus,mykiss
A0A060WP50,8022,E,Prefoldin alpha-like,PF02996,20,124,153,Oncorhynchus,mykiss
A0A060WTG6,8022,E,disorder_prediction,mobidb-lite,108,186,186,Oncorhynchus,mykiss
A0A060WUI4,8022,E,tRNA pseudouridylate synthase B C-terminal,PF16198,241,307,526,Oncorhynchus,mykiss
A0A060WWN2,8022,E,Thrombospondin type-1 (TSP1) repeat,PF00090,133,179,449,Oncorhynchus,mykiss
A0A060WY66,8022,E,disorder_prediction,mobidb-lite,288,318,426,Oncorhynchus,mykiss
A0A060WYQ2,8022,E,Uncharacterised protein family SERF,PF04419,37,73,97,Oncorhynchus,mykiss
A0A060X1X3,8022,E,Small GTPase superfamily,PF00071,1,54,79,Oncorhynchus,mykiss
A0A060X4A4,8022,E,PDZ domain,PF00595,274,349,394,Oncorhynchus,mykiss
A0A060X4J1,8022,E,SRCR domain,PF00530,562,659,907,Oncorhynchus,mykiss
A0A060X9B2,8022,E,B-box-type zinc finger,PF00643,99,136,272,Oncorhynchus,mykiss
A0A060XGD5,8022,E,Ribosomal protein L31e,PF01198,19,100,125,Oncorhynchus,mykiss
A0A060XI11,8022,E,Transglutaminase N-terminal,PF00868,5,119,679,Oncorhynchus,mykiss
A0A060XI43,8022,E,CTNNB1 binding N-teminal,PF08347,41,110,489,Oncorhynchus,mykiss
A0A060XT97,8022,E,3'-5' exonuclease domain,PF01612,60,130,312,Oncorhynchus,mykiss
A0A060XUV9,8022,E,Pyridine nucleotide-disulphide oxidoreductase dimerisation domain,PF02852,474,586,601,Oncorhynchus,mykiss
A0A060XYP2,8022,E,Uncharacterized protein OS=Oncorhynchus mykiss GN=GSONMT00013600001 PE=4 SV=1,LowComplexity,111,138,317,Oncorhynchus,mykiss
A0A060Y4E7,8022,E,Domain of unknown function DUF21,PF01595,185,356,691,Oncorhynchus,mykiss
A0A060YBS8,8022,E,Sushi/SCR/CCP domain,PF00084,319,370,389,Oncorhynchus,mykiss
A0A060YDZ6,8022,E,disorder_prediction,mobidb-lite,352,400,400,Oncorhynchus,mykiss
A0A060YK20,8022,E,Cytochrome P450,PF00067,132,362,370,Oncorhynchus,mykiss
A0A060YNC9,8022,E,MAM domain,PF00629,42,226,341,Oncorhynchus,mykiss
A0A060YXD5,8022,E,Small GTPase superfamily,PF00071,5,164,183,Oncorhynchus,mykiss
A0A060ZAP5,8022,E,Ras-associating (RA) domain,PF00788,27,118,281,Oncorhynchus,mykiss
A0A061AGX3,36022,E,Electron transfer flavoprotein alpha subunit C-terminal,PF00766,212,295,334,Cyberlindnera,fabianii
A0A061AL27,5286,E,Lysine methyltransferase,PF10294,122,208,392,Rhodotorula,toruloides
A0A061ASU1,36022,E,RNA cap guanine-N2 methyltransferase,PF09445,89,253,478,Cyberlindnera,fabianii
A0A061AV91,5286,E,Mitochondrial substrate/solute carrier,PF00153,197,295,310,Rhodotorula,toruloides
A0A061AX94,36022,E,TMEM14 family,PF03647,3,96,107,Cyberlindnera,fabianii
A0A061B314,36022,E,Carboxylesterase type B,PF00135,22,491,535,Cyberlindnera,fabianii
A0A061B643,5286,E,disorder_prediction,mobidb-lite,25,49,1282,Rhodotorula,toruloides
A0A061B911,5286,E,disorder_prediction,mobidb-lite,38,63,685,Rhodotorula,toruloides
A0A061BCS9,5286,E,Peptidase M24,PF00557,160,390,423,Rhodotorula,toruloides
A0A061BD61,5286,E,disorder_prediction,mobidb-lite,658,721,1552,Rhodotorula,toruloides
A0A061BDZ2,5286,E,Dihydrofolate reductase domain,PF00186,10,133,226,Rhodotorula,toruloides
A0A061BH09,5286,E,Acetate transporter GPR1/FUN34/SatP family,PF01184,26,205,251,Rhodotorula,toruloides
A0A061BHS4,5286,E,disorder_prediction,mobidb-lite,488,615,716,Rhodotorula,toruloides
A0A061BIB9,5286,E,disorder_prediction,mobidb-lite,933,967,967,Rhodotorula,toruloides
A0A061BM38,5286,E,F-box domain,PF12937,185,230,243,Rhodotorula,toruloides
A0A061D4Q7,5866,E,disorder_prediction,mobidb-lite,1,39,407,Babesia,bigemina
A0A061D6D3,5866,E,disorder_prediction,mobidb-lite,1,194,383,Babesia,bigemina
A0A061DPX0,3641,E,disorder_prediction,mobidb-lite,580,603,1598,Theobroma,cacao
A0A061DXX3,3641,E,disorder_prediction,mobidb-lite,90,149,1002,Theobroma,cacao
A0A061E5I4,3641,E,Toll/interleukin-1 receptor homology (TIR) domain,PF01582,19,184,1167,Theobroma,cacao
A0A061EKX6,3641,E,LEUNIG_homolog isoform 2 (Fragment) OS=Theobroma cacao GN=TCM_020345 PE=4 SV=1,LowComplexity,65,77,530,Theobroma,cacao
A0A061EQE5,3641,E,ABC transporter-like,PF00005,189,373,1454,Theobroma,cacao
A0A061EXY6,3641,E,UspA,PF00582,2,164,171,Theobroma,cacao
A0A061EZ03,3641,E,disorder_prediction,mobidb-lite,427,451,451,Theobroma,cacao
A0A061F4K9,3641,E,DNA-directed RNA polymerase RpoA/D/Rpb3-type,PF01193,138,262,270,Theobroma,cacao
A0A061F9N3,3641,E,p-loop containing nucleoside triphosphate hydrolases superfamily protein OS=Theobroma cacao GN=TCM_026435 PE=3 SV=1,CoiledCoil,440,468,642,Theobroma,cacao
A0A061FET4,3641,E,Alcohol dehydrogenase C-terminal,PF00107,213,335,389,Theobroma,cacao
A0A061FHC4,3641,E,F-box and Leucine Rich Repeat domains containing protein putative isoform 4 OS=Theobroma cacao GN=TCM_034979 PE=4 SV=1,CoiledCoil,564,585,1695,Theobroma,cacao
A0A061FIC6,3641,E,Protein of unknown function DUF247 plant,PF03140,51,399,439,Theobroma,cacao
A0A061FKZ8,3641,E,NB-ARC,PF00931,1065,1353,1759,Theobroma,cacao
A0A061FSD3,3641,E,Protein kinase C-terminal,PF00433,437,473,485,Theobroma,cacao
A0A061FV50,3641,E,Zinc finger NF-X1-type,PF01422,222,237,1082,Theobroma,cacao
A0A061FV74,3641,E,Mitochondrial inner membrane translocase subunit Tim17/Tim22/Tim23/peroxisomal protein PMP24,PF02466,22,152,200,Theobroma,cacao
A0A061G7M5,3641,E,Leucine-rich repeat,PF13855,537,594,923,Theobroma,cacao
A0A061G8V6,3641,E,PPM-type phosphatase domain,PF00481,96,334,355,Theobroma,cacao
A0A061G9B1,3641,E,Glucose-methanol-choline oxidoreductase C-terminal,PF05199,399,539,646,Theobroma,cacao
A0A061GBF6,3641,E,disorder_prediction,mobidb-lite,74,95,811,Theobroma,cacao
A0A061GEF8,3641,E,Leucine-rich repeat,PF00560,476,498,1140,Theobroma,cacao
A0A061GIR3,3641,E,disorder_prediction,mobidb-lite,1,22,683,Theobroma,cacao
A0A061GJ69,3641,E,Transport protein particle (TRAPP) component,PF04051,30,182,194,Theobroma,cacao
A0A061GKL1,3641,E,disorder_prediction,mobidb-lite,605,738,738,Theobroma,cacao
A0A061GNB3,3641,E,disorder_prediction,mobidb-lite,319,349,1522,Theobroma,cacao
A0A061GQ14,3641,E,Non-haem dioxygenase N-terminal domain,PF14226,411,517,528,Theobroma,cacao
A0A061GS33,3641,E,Amino acid/polyamine transporter I,PF13520,66,446,479,Theobroma,cacao
A0A061GWZ3,3641,E,disorder_prediction,mobidb-lite,197,248,342,Theobroma,cacao
A0A061HTE0,10029,E,Dbl homology (DH) domain,PF00621,1,180,483,Cricetulus,griseus
A0A061HUL1,10029,E,Filamin/ABP280 repeat-like,PF00630,2238,2321,2623,Cricetulus,griseus
A0A061HV17,10029,E,HECT domain,PF00632,4035,4339,4340,Cricetulus,griseus
A0A061I014,10029,E,Signal recognition particle SRP54 subunit helical bundle,PF02881,6,83,471,Cricetulus,griseus
A0A061I034,10029,E,Kinase associated domain 1 (KA1),PF02149,708,750,750,Cricetulus,griseus
A0A061I2B2,10029,E,Toll/interleukin-1 receptor homology (TIR) domain,PF01582,737,898,900,Cricetulus,griseus
A0A061IAE1,10029,E,ELMO domain,PF04727,292,468,720,Cricetulus,griseus
A0A061IB93,10029,E,disorder_prediction,mobidb-lite,1,36,479,Cricetulus,griseus
A0A061IDS8,10029,E,Zinc finger MYND-type,PF01753,476,503,520,Cricetulus,griseus
A0A061IHJ9,10029,E,disorder_prediction,mobidb-lite,367,387,507,Cricetulus,griseus
A0A061IJQ1,10029,E,WD40 repeat,PF00400,125,161,665,Cricetulus,griseus
A0A061IMB3,10029,E,Zinc finger MIZ-type,PF02891,564,612,888,Cricetulus,griseus
A0A061IP63,10029,E,Macrophage scavenger receptor types I and II OS=Cricetulus griseus GN=H671_1g2317 PE=4 SV=1,CoiledCoil,245,266,487,Cricetulus,griseus
A0A061QLK9,6928,E,disorder_prediction,mobidb-lite,1249,1274,1415,Cupiennius,salei
A0A061QUT3,582737,E,disorder_prediction,mobidb-lite,493,550,708,Tetraselmis,sp. GSL018
A0A061RFH3,582737,E,Chaperonin Cpn60/TCP-1 family,PF00118,25,99,710,Tetraselmis,sp. GSL018
A0A061RM56,582737,E,disorder_prediction,mobidb-lite,112,207,207,Tetraselmis,sp. GSL018
A0A061RVB2,582737,E,Sulfotransferase domain,PF00685,45,213,247,Tetraselmis,sp. GSL018
A0A061RXB0,582737,E,Domain of unknown function DUF1605,PF07717,1042,1133,1173,Tetraselmis,sp. GSL018
A0A061S8M4,582737,E,Alcohol dehydrogenase iron-type,PF00465,380,771,865,Tetraselmis,sp. GSL018
